state_fips	statenam	stateno	state	equalpay	conacchwy	soil	fish	consgsoil	airpol	forest	nrmlsch	deaf	sprinsch	workcom	utreg	compsch	prob	realest	intbar	slains	taxcom	sals	expsta	fairtrade	hwyagen	acctlic	welfagy	parksys	nrslic	merit	englic	boh	budgstd	stateptr	pharmlic	autoreg	beaulic	archlic	ausbalsys	antiage	antiinj	juvisup	legpre	denlic	miglab	mntlhlth	fhpriv	fhpub	fhurb	humrel	autosaf	homerul	jucoen	laborag	comage	teacsec	teacelm	legresea	retstate	edutv	prkagcit	arts	libext	citzon	pubhouen	stplnb	adc	dirdem	dirprim	adcom	blind	minwage	debtlim	urbrenen	pldvpag	cigtax	chirolic	childlab	retainag	recipsup	parolesup	oldagea	roadshwy	alcbevcon	crtadm	alctreat	aidperm	indgaming	cappun	schoolchoi	chartersch	livingwill	aborpreroe	health	natreso	environ	econdev	aging	revenue	transport	correct	education	inctax	gastax	absvot	earlvot	motorvoter	mailreg	famcap	snrpresc	msas	idas	timelim	lien	childabu	viccomp	pubcamfun	lott	rightdie	elecdereg	missplan	childseat	lemon	termlim	medmar	hatecrime	grandvist	aboldeapen	hmomod1	hmomod2	animcruel	mothpen	credfreez	kidhelmet	bradycamp	primseat	vicrtsamd	strikes	higrenew	higissue	hiport	hiprecon	idtheft	pdrugmon	stalkdef	cyberstalk	harass	civinjaut	dui08	smokeban	gaymarban	postdna	motorhelm	engonly	aborparn	aborparc	statrapage	renewport	foia	pestcomp	tels	methpre	kegreg	infanthear	pubbrefeed	norealid	kinship	banfaninc	bangag	ccreceipt	contrains	gdl	colcanscr	manclin	cogrowman	shield	bottle	right2work	offwmh	enterzone	mlda21	zerotol	hsexit	sdce	broadcom	indorgris	sexreginfo	juvct	fairemp	segoss
9	"Connecticut"	7	"CT"	1949	1939	1945	1867		1959	1901	1849	1921	1839	1914	1853	1872	1955			1913	1901		1887	1937	1895	1907	1873	1912	1905	1937	1935	1878	1915	1903	1881	1903	1927	1933	1909	1959	1939	1957	1937	1893		1955	1959	1949	1953	1947	1965	1951	1959	1873	1945	1922	1940	1907	1939	1961	1945	1965	1893	1925	1937	1935	1941		1955	1939	1938	1940		1949	1939	1935	1917	1911	1957	1958	1941	1936	1895		1937	1945	1954	1991	1973		1996	1985		1988		1990			1989		1991	1978		1921			1995	1990	1995	1986		2000	1995		1965	1978		1971		1998		1982	1982		1981	1990	1979				1996	1919	2005	1993	1990	1986	1996	1994	1990	1990	1990	1990	1999							2003		2000	1967		1990		1993	1998	1975		1991		1999	1997	1997		2003		1997		1999	1996	2001	2001		2006	1978			1982	1985	1995		2007		1994		1921	1947	
23	"Maine"	19	"ME"	1949	1939	1941	1878		1954	1891	1863	1897	1846	1916	1858	1875	1957	1937		1943	1891		1888	1937	1907	1913	1913	1933	1915	1937	1935	1885	1919	1925	1877	1905	1933	1945	1891	1965	1933	1955		1891		1957					1963			1887	1953	1935		1939	1942	1961	1941		1899	1925	1949	1935	1936	1908	1911	1927	1936	1939	1848	1951	1943	1941	1923	1911		1954	1939	1936	1901	1944		1953	1955					1985												1923	2000		1990	1984		1975		1997			1965		1973	1974	1987	1997		1983	1983	1993	1999		1983	1887	1975	1995	2001	1917	2005	1999					1992	1992	1991	1993				2001	2001	2001	1988	2004	1997	2001	1967			1989	1975	1999	1959	1986			1991	2000	2001	2007	2005	2000	1996	2002	1999	2003		2000		2008	1976		2001	1987	1985	1983		2007		1996		1959		
25	"Massachusetts"	21	"MA"	1945	1943	1945	1865		1954	1904	1839		1837	1912	1864	1852	1878			1894	1864	1965	1888	1937	1893	1909	1863	1891	1910	1884	1941	1869	1918	1921	1885	1903	1935		1888	1937	1914	1955	1946	1887	1959	1956	1959	1948	1957	1946	1963		1947	1869	1947	1956	1956	1908	1911	1961	1946	1964	1890	1918	1935	1935	1936	1918	1911	1937	1936	1937		1949	1935	1939		1902	1965	1954	1937	1936	1892	1932	1956	1956	1951		1979	1991	1993					1988			1991	1988	1982	1986	1916	1929			1995	1995	1995	1996					1964	1967	1975	1972	1977	1997		1981	1983		1991	1983	1983				1804	1913		1994	1998				1991	1991	1991	1991	1998	1992			2000			2004			1967	1975		1981		1997	1851		1986			1998	2008			2000			2002	1998		2002			1981				1985	1994	1993	2006	1996			1906	1946	
33	"New Hampshire"	29	"NH"	1947	1943	1945	1864		1955	1893	1870		1846	1912	1844	1871	1937	1947			1911		1888	1937	1905	1917	1895	1909	1907	1950	1945	1881	1919	1937	1875	1905	1937	1947	1891	1975		1957	1951	1895		1957	1961	1961	1961		1963			1893	1953		1948	1913	1945	1965	1941	1965	1891	1925	1947	1935	1936		1909	1935	1936	1938		1947	1942	1939	1921	1901	1959	1953	1937	1936	1903			1947	1952		1974		1995	1985		1985	1990								1923	1923			1995	1995							1964			1964		1996		1983	1983		1981	1990	1982				1994	1913	2006	2006	2000				1992	1994	1992	1993	1999		2000	1999			1994			2004	1967	1995						1968				2002	1999	2007		2000	1996		1999	1997		2000							1985	1993		2007		1996		1907		
44	"Rhode Island"	39	"RI"	1946	1937	1943	1879		1956	1909	1852	1891	1843	1912	1839	1883	1951				1912		1888	1936	1896	1906	1869	1904	1912	1939	1938	1878	1926	1925	1875	1904	1926	1936	1889	1956	1936	1957		1888	1959	1957		1952		1949	1963	1951		1887	1951	1932	1932	1907	1936	1955		1965	1907	1923	1935	1935	1937		1947	1939	1939	1937	1842	1950	1938	1939	1927	1909		1951	1937	1936	1902	1938	1952	1951	1951	1994	1973		1995							1991						1925			1995	1995		1985		1997			1964	1972	1973	1974		1996		1981	1984		2006	1982	1981	1852	1983	1995	1896	1923	2006	1996	1995		1986		1992	1992	1991	1992	2000	1979		2001			2000	2005		2002	1967			1982	1979	2004	1979	1999	1992			1992	1998			1996	1996	2004	2000	1998	2000	1994	1988	1971			1994	1991	1984	1995		2006	1996			1915	1949	
50	"Vermont"	45	"VT"		1955	1939	1867		1959	1904	1866		1827	1915	1855	1867	1947	1931		1916	1882		1888	1933	1898	1912	1917	1927	1910	1939	1939	1886	1915	1947	1894	1904	1937	1951	1890	1967				1882		1959					1963				1953	1927	1952	1931	1944	1963		1965	1894	1929	1937	1935	1936		1915	1933	1936	1957			1947	1937	1919	1911		1953	1937	1936	1898	1934		1951	1951					1982			1990					1989			1931	1923	1993	1993	1992	1990		1996		2000			1965			1978			1967	1984			2004	1989	1964	1965	1979	1993	1998	1917	2004					1995		1991	1991	1991				2000			1991	2005			1968							1978			1992		2002			1997	1996		1999	1999		2001	1970		1972			1986	1986	1997					1996	1937	1963	
10	"Delaware"	8	"DE"		1945	1943	1881		1957	1909	1866			1918		1907	1951	1927		1915	1921	1955	1888	1935	1917	1913	1919	1927	1909	1938	1941	1879	1917	1923	1883	1905		1933	1891	1960		1963	1945	1885	1957	1962				1962	1963					1921	1934	1945	1946	1964			1901	1923	1934	1943	1936		1903		1945	1965		1951		1949	1937	1914			1937	1936	1903	1935		1948	1950		1974		1995	1982	1969	1987	1989		1992	1987	1989		1989	1989	1917	1923			1995	1976	1995	1999			1995		1965	1974		1975	1980	1999		1982	1983				1977	1958			1994	1917	2005	1996	1994	2003			1991	1992	1992	1992	2000							2002	1996	2000	1968		1996		1988		1977	1969	1978			2005	1997			1998	1996	2003	2000	1999	2000	2001		1953	1982		2001	1985	1984	1995		2006	1994			1911	1960	
34	"New Jersey"	30	"NJ"	1952	1945	1937	1870		1954	1905	1855	1882	1845	1911	1907	1875	2005	1921			1915	1945	1888		1894	1904	1883	1915	1912	1908	1921	1877	1916	1921	1877	1903	1936	1902	1911	1962	1926	1955		1890	1945	1956	1961	1950	1950	1945	1964		1946	1878	1954	1933	1948	1945	1922		1929	1962	1900	1917	1938	1934	1936		1911	1937	1936	1938	1844	1949	1944	1948	1923	1910	1958		1936	1936	1891	1937	1948	1948	1951		1982	1988	1996				1990	1988	1990		1989	1987	1988			1927			1995	1976	1992	1975	1997	2001			1964	1971	1974	1971	1976	1999		1983			1981	1990	1971		1973		2001	1913	2005	1992	1991	1999	1991	1995	1992	1992	1992	1992	1999		1998	2001				2006			1968				1978	1999	2001	1970	1976			2000	1997		2005	1997	1997	2002	2005	2000	2001		1986	1960			2001	1984	1983	1992	1976	2005	1994			1903	1945	
36	"New York"	32	"NY"	1944	1937	1940	1868	1931	1957	1885	1844		1813	1914	1885	1874	1908	1922			1896	1957	1888	1935	1898	1896	1867	1885	1903	1883	1920	1881	1921	1917	1884	1901	1946	1915	1895	1958	1935	1955	1934	1868	1943	1956	1961	1939	1950	1945	1962	1923	1948	1883	1947	1936	1941	1901	1921	1962	1940	1960	1891	1921	1939	1935	1937		1913	1935	1937	1938	1846	1950	1942	1939		1909	1957	1949	1936	1936	1898	1934	1955	1952	1950	1993	1974				1970				1987	1986		1986	1980		1919	1929			1992	1976		1987					1964	1966		1967	1981			1981	1983		1980	1982	1983	1965			1999	1915	2006	1994		1984			1992	1992	1992	1992		1977	1999					2003			1967				1950	2004	1974	2002				1999	1994		2003		1996	2002	2002	2002				1970	1982			1987	1985	1996	1977			1996		1903	1945	
42	"Pennsylvania"	38	"PA"	1948	1945	1937	1878	1939	1960	1895	1859	1913	1833	1916	1907	1895		1929		1915	1929	1952	1887	1936	1903	1906	1869	1923	1909	1941	1921	1885	1923	1937	1887	1903	1933	1936	1891	1955	1937	1956	1937	1876	1952	1961	1961	1949	1945	1955	1963	1922		1872	1951	1939	1939	1909	1923	1963	1945	1966	1899	1923	1937	1936	1936		1906	1939	1951	1941	1857	1949	1939	1935	1913	1909	1959	1957	1937	1936	1903	1926		1953	1951		1974							1990		1987		1982				1921			1995	1976		1984	1996	1997			1967	1976		1972		1996		1983	1984			1982	1981				1995	1913		1995				1995					2000		1999	1999	1999				1996	2002	1968			1994	1990	2004	1957	1968				2001	2007		2003	1998	1996			1999				1937				1983	1935	1996				1995		1903	1955	
17	"Illinois"	13	"IL"	1944	1943	1939	1879	1941	1960	1917	1857	1839	1854	1911	1871	1883	1927	1921			1919	1955	1888	1935	1915	1897	1869	1917	1907	1941	1941	1877	1917	1923	1881	1907	1925	1897	1891		1925	1961		1881	1955	1965		1937	1959	1961	1963		1937	1879	1954	1929	1943	1913	1943	1965	1943	1965	1909	1921	1934	1935	1941	1970	1905	1939	1943	1941	1848	1948	1945	1941	1899	1905		1950	1936	1936	1905	1933	1959	1957	1950		1974	1990	1996	1983				1991		1983	1991		1980			1927			1995	1995	1995	1985	1994	1998	1995	1996	1965	1973		1974	1988	1997		1982	1983		1978	1983	1981		1974	1995	1999	1911	2006		1999	2003	1992		1993		1993	1993	1999	1961	2000	1999	1999		1997	2008	1996	1997	1969	1969			1984	2001	1984	1968		2004		1999	1995	2007	2006	1997	1999	2003	2003	1997	1999	1999		1982				1983	1980	1995		2003		1996		1899	1961	
18	"Indiana"	14	"IN"		1945	1937	1881	1947	1961	1901	1865	1844	1852	1915	1905	1897	1931	1949		1940	1891	1960	1887	1937	1919	1929	1889	1916	1905	1941	1921	1881	1921	1935	1899	1905	1935	1929	1891	1965	1933	1957	1945	1887	1960	1959		1961	1945	1960	1965			1879	1955			1907	1945		1927	1965	1899	1921	1937	1935	1936		1915	1939	1936	1965	1851	1949	1943	1947	1927	1911		1951	1935	1936	1917	1935		1953			1973			1985		1989	1990	1989	1990	1988			1991			1923	2003		1995	1992	1994	2000	1995	1997	1994		1965	1977	1977	1989			1968	1983					1981			1994	1998	1919				1998	1996	1994	1992				2001	1995	2001			2001	2001		1997	2001	1967	1984		1984	1994		1973	2005		2005		1999	2003				1996			1999	2000			1941			1999	1983	1934	1997	1992	2007		1994		1903	1963	
